Canadian Armed Forces Employment Equity Representation Rates,,,,,,,,,,,,,,,,,,,,,,,
Reg Forces Officer,19.80%,1.90%,12.80%,0.80%,,,,,,,,,,,,,,,,,,,
Reg Forces Non-Commisioned Members,14.40%,3.20%,7.40%,1.40%,,,,,,,,,,,,,,,,,,,
*Total Reg F,15.80%,2.90%,8.80%,1.30%,,,,,,,,,,,,,,,,,,,
Canadian Armes Forces Employment Equity Goals,Women                     ,Aboriginal Peoples,Visible Minorities,Persons with Disabilities,,,,,,,,,,,,,,,,,,,
,25.10%,3.50%,11.80%,N/A,,,,,,,,,,,,,,,,,,,
**PRes Officer,17.00%,1.90%,11.60%,0.70%,,,,,,,,,,,,,,,,,,,
***PRes NCM,16.70%,2.70%,11.30%,1.00%,,,,,,,,,,,,,,,,,,,
Total PRes,16.80%,2.60%,11.30%,0.90%,,,,,,,,,,,,,,,,,,,
 Reg F + PRes Officer,19.10%,1.90%,12.50%,0.80%,,,,,,,,,,,,,,,,,,,
Reg F + PRes NCM,15.20%,3.10%,8.70%,1.30%,,,,,,,,,,,,,,,,,,,
Total Reg F + PRes,16.10%,2.80%,9.60%,1.20%,,,,,,,,,,,,,,,,,,,
****COATS,41.40%,2.80%,7.10%,2.20%,,,,,,,,,,,,,,,,,,,
Rangers,22.70%,23.10%,1.60%,1.20%,,,,,,,,,,,,,,,,,,,
                 Regular Force + Primary Reserve by Distinct Environmental Uniform,,,,,,,,,,,,,,,,,,,,,,,
Navy Officer,22.50%,2.20%,13.60%,0.80%,,COATS,,81.10%,,,,,,,,,,,,,,,
Navy NCM,19.90%,3.30%,10.10%,1.60%,,Rangers,,60.60%,,,,,,,,,,,,,,,
Total Navy,20.60%,3.00%,11.10%,1.40%,,,,,,,,,,,,,,,,,,,
Army Officer,16.40%,1.80%,12.50%,0.80%,,,,,,,,,,,,,,,,,,,
Army NCM,13.00%,3.10%,8.80%,1.20%,,,,,,,,,,,,,,,,,,,
Total Army,13.60%,2.80%,9.50%,1.20%,,,,,,,,,,,,,,,,,,,
Air Force Officer,21.30%,1.80%,11.70%,0.70%,,,,,,,,,,,,,,,,,,,
Air Force NCM,19.30%,2.80%,7.60%,1.20%,,,,,,,,,,,,,,,,,,,
Total Air Force,20.00%,2.50%,9.00%,1.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
*Reg F: Regular Forces,,,,,,,,,,,,,,,,,,,,,,,
**P Res: Primary Reserve,,,,,,,,,,,,,,,,,,,,,,,
***NCM: Non-Comissioned Members,,,,,,,,,,,,,,,,,,,,,,,
****COATS: Cadet Organization Administration and Training Service,,,,,,,,,,,,,,,,,,,,,,,
