Group,Officers,NCM,Total,V5,V6,V7,V8,V9
Women,19.80%,14.40%,15.80%,NA,NA,NA,NA,NA
Aboriginal People,1.90%,3.20%,2.90%,NA,NA,NA,NA,NA
Visible Minorities,12.80%,7.40%,8.80%,NA,NA,NA,NA,NA
Persons with Disabilities,0.80%,1.40%,1.30%,NA,NA,NA,NA,NA
...14,NA,NA,NA,NA,NA,NA,NA,NA
...15,NA,NA,NA,NA,NA,NA,NA,NA
...16,NA,NA,NA,NA,NA,NA,NA,NA
...17,NA,NA,NA,NA,NA,NA,NA,NA
...18,NA,NA,NA,NA,NA,NA,NA,NA
...19,NA,NA,NA,NA,NA,NA,NA,NA
...20,NA,NA,NA,NA,NA,NA,NA,NA
...21,NA,NA,NA,NA,NA,NA,NA,NA
...22,NA,NA,NA,NA,NA,NA,NA,NA
...23,NA,NA,NA,NA,NA,NA,NA,NA
...24,NA,NA,NA,NA,NA,NA,NA,NA
